"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"31","some",10,"some","several","many","these","most","other","all","those","various","also"
"32","would",8,"would","will","could","might","may","can","should","does_not","",""
"33","will",8,"will","would","could","should","may","might","can","must","",""
"34","have_been",7,"have_been","has_been","have","those","several","other","some","","",""
"35","both",10,"both","all","including","as_well_as","different","those","non","two","between","other"
"36","including",10,"including","as_well_as","other","both","various","e_g","non","include","specific","different"
"37","milk",5,"milk","goat_milk","milkderived","skim_milk","whey","","","","",""
"38","method",4,"method","methods","technique","validation","","","","","",""
"39","groups",6,"groups","group","three","four","treated","six_pens","","","",""
"40","test",6,"test","tests","standard","oie_elisa","assays","negative","","","",""
"41","concentration",4,"concentration","concentrations","content","level","","","","","",""
"42","where",9,"where","if","since","although","when","only","being","most","thus",""
"43","performed",4,"performed","carried_out","conducted","using","","","","","",""
"44","each",4,"each","three","one","four","","","","","",""
"45","has_been",5,"has_been","has","have_been","can_be","was","","","","",""
"46","methods",7,"methods","techniques","method","validation","alternative_methods","protocols","detection","","",""
"47","further",10,"further","required","additional","need","necessary","therefore","appropriate","new","since","possible"
"48","possible",6,"possible","therefore","further","important","migratory_bird_species","thus","","","",""
"49","metabolism",4,"metabolism","biotransformation","absorption_distribution","oxidation","","","","","",""
"50","diet",8,"diet","diets","fed","basal_diet","dietary","basal_diet_containing","ration","supplemented_with","",""
"51","fish",6,"fish","fishes","molluscs","carp","eels","wild_caught","","","",""
"52","since",10,"since","although","where","however","therefore","only","thus","further","furthermore","present"
"53","reference",4,"reference","terms","background","requestor","","","","","",""
"54","metabolites",10,"metabolites","metabolite","conjugates","glucuronide_conjugates","williams_1959a","hydroxylated","glucuronic_acid_conjugates","their_conjugated_forms","oxidation","intermediates"
"55","mg_kg_bw_day",10,"mg_kg_bw_day","mg_kg_bw_per","mg_kg_bw","developmental_noael","noael","mg_kg_b_w","maternal_noael","nd7","ppm_equivalent","ppm_equal"
"56","three",10,"three","four","two","five","six","one","groups","each","all","eight"
"57","chronic",5,"chronic","acute","long_term","short_term","prolonged","","","","",""
"58","time",10,"time","stage","period","start","duration","peak_culicoides","before","end","lift_up","final_screening"
"59","rats",10,"rats","mice","pure_badge","nc_00723","nickel_sulfate_hexahydrate","sprague_dawley_rats","cd_rats","guinea_pigs","fischer_344_rats","beagle_dogs"
"60","they",10,"they","so","because_they","killed_humanely","usually","often","some_cognitive_ability","purpose_bred","themselves","sometimes"
"61","expected",4,"expected","likely","unlikely","thus","","","","","",""
"62","pesticide_risk_assessment",10,"pesticide_risk_assessment","active_substance_flutianil","active_substance_fenpyroximate","active_substance_sulfosulfuron","active_substance_pyridate","active_substance_amitrole","active_substance_isaria_fumosorosea","active_substance_terpenoid_blend","active_substance_flupyrsulfuron","active_substance_iprovalicarb"
"63","product",7,"product","sorbiflore","additive","creaminotm","vitalys","aquasta","avizyme_1210","","",""
"64","meat",10,"meat","minced_meat_molluscan_shellfish","wild_game_birds_molluscan","beef","bone_meal","red_meat","pork","meat_products","fresh_meat","raw"
"65","arfd",4,"arfd","adi","acute_reference","level_aoel","","","","","",""
"66","humans",6,"humans","infection","infections","transmission","human","asian_lineage_h5n1","","","",""
"67","should",10,"should","will","must","could","might","would","does_not","can","appropriate","may"
"68","additional",4,"additional","further","required","new","","","","","",""
"69","scientific_opinion",9,"scientific_opinion","biological_hazards","welfare_ahaw","biological_hazards_biohaz","welfare_ahaw_panel","largo_natale_palli_5","opinion2","goats1","welfare_ahaw_2012b",""
"70","pigs",10,"pigs","turkeys","ducks","poultry","calves","chickens","dairy_cows","fattening_turkeys","kids","dairy_ruminants_lambs"
"71","compared",4,"compared","treated","fed","comparable","","","","","",""
"72","efsa_journal_2011",10,"efsa_journal_2011","3_2097_34","6_2193_54","5_2150_37","2162","9_2356","9_2361","9_2362","9_7_2184","9_2359"
"73","existing_mrls",6,"existing_mrls","various_crops","existing_mrl","iprodione_commodity","boscalid_commodity","prothioconazole","","","",""
"74","disease",10,"disease","hpai","contagious_viral","infections","infection","bluetongue_bt","sweet_itch","clinical_disease","prrs","wildlife_reservoirs"
"75","years",5,"years","months","older_than_65","over","age","","","","",""
"76","because",9,"because","although","thus","however","still","so","if","generally","most",""
"77","mg_kg_bw",10,"mg_kg_bw","via_stomach_tube","mg_kg_bw_day","phenobarbital_pb","via_gavage","intraperitoneal_injection","mg_kg_b_w","gavage","mg_perillyl_alcohol","dermal_ld50"
"78","section",4,"section","chapter","sections","see","","","","","",""
"79","european_commission",5,"european_commission","commission","general_requesting","provide_urgent","polish_competent_authority","","","","",""
"80","cases",8,"cases","clinical_cases","confirmed_cases","outbreaks","human_cases","vtec_infections","trichinellosis_cases","serogroup_o104","",""
"81","those",10,"those","all","other","similar","both","different","some","various","several","these"
"82","model",4,"model","models","modelling","bayesian_network","","","","","",""
"83","salmonella",10,"salmonella","campylobacter","campylobacter_spp","esbl_ampc_producing","escherichia_coli_o157","poultry","salmonella_enteritidis","salmonella_contamination","fowl_gallus_gallus_turkeys","salmonellae"
"84","journal",10,"journal","bulletin","indian_journal","archives","canadian_journal","526_533","annals","clinical_pharmacology","244_248","virology"
"85","more",10,"more","less","very","often","even","so","generally","special_circumstances","some","most"
"86","several",10,"several","various","some","many","most","different","all","those","these","have_been"
"87","additive",10,"additive","calcium_formate","l_threonine","sodium_formate","suilectin","technological_additive","ammonium_formate","homogeneous_distribution","6phytase","product"
"88","safety_authority",10,"safety_authority","european_food","safety_authority_2011c","safety_authority_2012c","safety_authority_2011b","safety_authority_2011a","safety_authority_2015","safety_authority_2010b","safety_authority_2014","safety_authority_2009a"
"89","appropriate",7,"appropriate","necessary","required","need","applied","further","should","","",""
"90","most",10,"most","many","although","some","particularly","especially","several","generally","mainly","often"
"91","infection",10,"infection","transmission","infections","clinical_disease","lpai","hpai","h5n1_virus","h5n1_hpaiv","hpaiv","subclinically_infected"
"92","negative",4,"negative","positive","tested","test","","","","","",""
"93","cattle",10,"cattle","sheep","bse","tse","goats","bovine","small_ruminants","bovines","tse_infected","bse_infected"
"94","although",10,"although","however","moreover","most","very","since","but","still","because","probably"
"95","poultry",10,"poultry","pigs","pig","meat","intensively_reared_poultry","salmonella","swine","feathered_game","ostrich","fowl"
"96","than",10,"than","less","higher","while","lower","generally","whereas","even","greater","similar"
"97","period",10,"period","over","year","until","periods","first","weeks","days","last","time"
"98","article",4,"article","provisions","regulation_ec_no_1831","regulation","","","","","",""
"99","country",9,"country","region","countries","third_country","origin_india","bovine_animals_frozen","cveda_quarantine_data","product_0202_meat","live_cattle",""
"100","as_well_as",8,"as_well_as","including","various","both","include","e_g","several","non","",""
"101","processing",4,"processing","industrial_uses","59122_seeds","excludes_cultivation_purposes","","","","","",""
"102","prevalence",7,"prevalence","within_herd_prevalence","infection","seroprevalence","prevalences","incidence","flocks","","",""
"103","liver",10,"liver","kidney","kidneys","liver_kidney","muscle","liver_kidneys","lung_kidney","heart_brain","spleen","liver_lung"
"104","long_term",4,"long_term","short_term","acute","chronic","","","","","",""
"105","terms",4,"terms","reference","background","reference_tor","","","","","",""
"106","resistance",10,"resistance","cross_resistance","co_selection","ampc_resistance_genes","resistance_mechanisms","reduced_susceptibility","beta_lactams","transferable","extended_spectrum_cephalosporins","plasmid_mediated"
"107","first",10,"first","last","second","period","later","before","during","third","started","until"
"108","detected",6,"detected","found","isolated","detectable","confirmed","prrsv","","","",""
"109","average",5,"average","mean","assuming","percentage","daily","","","","",""
"110","metabolite",10,"metabolite","phenoxazone","fenamiphossulfoxide","major_metabolite","metabolites","ae_0651017","desaminometribuzin","oxophosalone","parent","m01"
"111","birds",4,"birds","bird","pigeons","chicks","","","","","",""
"112","through",10,"through","via","into","subsequent","directly","being","reduce","fomite","contamination","direct"
"113","higher",10,"higher","lower","greater","low","than","increased","high","increase","while","even"
"114","similar",7,"similar","those","comparable","show","common","than","some","","",""
"115","per_day",10,"per_day","kg_bw_day","kg_b_w","aluminium_lactate","daily","daily_dose","kg_bw","μg","day","equivalent"
"116","reduction",6,"reduction","increase","reducing","decrease","reduced","increased","","","",""
"117","treated",7,"treated","untreated","compared","non_infected_untreated","fed","groups","controls","","",""
"118","necessary",10,"necessary","appropriate","needed","sufficient","consider","required","further","need","adequate","therefore"
"119","detection",10,"detection","diagnosis","identification","pcr","detecting","real_time_rt_pcr","rapid_detection","antibody","competitive_elisa","isolation"
"120","into",5,"into","through","via","within","being","","","","",""
"121","france",10,"france","germany","greece","spain","united_kingdom","portugal","belgium","austria","italy","sweden"
"122","countries",10,"countries","regions","country","european_countries","neighbouring_countries","ms","europe","endemic_countries","imports","accession_countries"
"123","limited",4,"limited","sufficient","indicate_that","lack","","","","","",""
"124","germany",10,"germany","spain","sweden","denmark","italy","belgium","ireland","portugal","poland","finland"
"125","increased",10,"increased","reduced","increase","increases","decrease","higher","increasing","decreased","greater","an_increase"
"126","need",10,"need","appropriate","further","allow","necessary","make","needed","required","provide","needs"
"127","italy",10,"italy","spain","portugal","germany","greece","belgium","ireland","poland","sweden","finland"
"128","genotoxicity",10,"genotoxicity","vitro_genotoxicity","aromatic_hydrocarbons_jecfa_2006a","chemical_name_fl_no","41_pyrazines_jecfa_2002a","fge_26rev1_chemical_name","vivo_genotoxicity_data","fge_213","vivo","chemical_name_flno"
"129","dietary",4,"dietary","supplementation","diet","calcium","","","","","",""
"130","being",10,"being","i_e","free","while","without","same_geographic_areas","most","through","even","where"
"131","thus",10,"thus","therefore","because","if","hence","however","since","does_not","still","so"
"132","showed",6,"showed","had","showing","revealed","show","observed","","","",""
"133","associated_with",7,"associated_with","caused_by","particularly","major","cause","associated","occurrence","","",""
"134","limit",4,"limit","detection_limit","detection_lod","limits","","","","","",""
"135","impact",6,"impact","influence","consequences","effects","effect","trout_welfare","","","",""
"136","noael",10,"noael","noel","loael","maternal_noael","mg_kg_bw_day","acute_neurotoxicity","rabbit_developmental_study","developmental_noael","systemic_noael","acute_neurotoxicity_study"
"137","sampling",5,"sampling","sample","caecal_droppings","random_sampling","programmes","","","","",""
"138","carried_out",5,"carried_out","conducted","performed","done","designed","","","","",""
"139","s_ha",10,"s_ha","application_rate","s_ha_test_organism","70_interception_app","i_ha","a9364a","june_sep_spray_drift","foliar_broadcast","s_ha_lr50","ha"
"140","jecfa",10,"jecfa","jecfa_2002a","55th_65th","jecfa_2006a","its_69th_meeting","its_59th_meeting","jecfa_2005a","its_63rd_meeting","jecfa_evaluated","63rd_meeting"
"141","four",10,"four","three","five","six","ten","eight","seven","two","nine","one"
"142","flavouring_group_evaluation",10,"flavouring_group_evaluation","fge","thienyl_derivatives_from","thiazoles_thiophenes_thiazoline","three_quinine_salts","21_thiazoles_thiophene_thiazoline","fge_23rev4","related_esters","chemical_group","secondary_alcohols_ketones"
"143","europe",10,"europe","north_america","middle_east","asia","africa","regions","americas","world","many_countries","african_countries"
"144","scientific",4,"scientific","stakeholders","documentation_comprises","information","","","","","",""
"145","process",5,"process","processes","biomation","steps","multi_step_catalytic","","","","",""
"146","provide",8,"provide","give","enable","allow","assess","need","obtain","make","",""
"147","months",8,"months","weeks","years","age","days","24_months","one_month","animals_older_than","",""
"148","approach",6,"approach","tool","methodology","more_flexible","concept","delphi","","","",""
"149","concluded_that",5,"concluded_that","therefore","furthermore","noted_that","however","","","","",""
"150","weeks",10,"weeks","days","months","an_adaptation_period","post_farrowing","period","mating_period","farrowing_until_weaning","seven_days","hours"
"151","lettuce",10,"lettuce","potatoes","tomatoes","cabbage","tomato","sugar_beet","apples","sunflower","alfalfa","tobacco"
"152","lower",10,"lower","higher","greater","than","while","whereas","low","increase","reduced","even"
"153","doses",4,"doses","dose","dosages","oral_doses","","","","","",""
"154","sheep",10,"sheep","cattle","goats","bovine","bse","small_ruminants","tse","caprine","scrapie","goat"
"155","vitro",10,"vitro","vivo","mammalian_cells","vitro_assays","16_098_1767","vivo_assays","vivo_tests","vitro_chromosomal_aberrations","mammalian_cells_gave_negative","07_015_1120"
"156","while",10,"while","whereas","than","even","generally","lower","higher","although","had","most"
"157","include",5,"include","as_well_as","involve","including","require","","","","",""
"158","sample",6,"sample","batch","sampling","foodstuff_feedingstuff","between_two_cleanings","samples","","","",""
"159","regulation",6,"regulation","provisions","regulation_ec","article","726_2004","directive_2001_82","","","",""
"160","efficacy",10,"efficacy","econase_wheat_plus","hemicell_feed_enzyme","bacillus_subtilis_pb6_bacillus","biosprint_saccharomyces_cerevisiae","biomin_imb_52","sorbiflore","biacton","fecinor","weaned_piglets"
"161","national",6,"national","authorities","organizations","international","programmes","collaboration","","","",""
"162","sufficient",8,"sufficient","enough","limited","adequate","necessary","needed","required","insufficient","",""
"163","introduction",10,"introduction","probability","spread","lsd_into","establishment","importation","asfv_into","transmission","asian_lineage_h5n1_hpaiv","viable_rvf_virus"
"164","changes",8,"changes","alterations","variations","differences","alteration","disturbances","pathologies","change","",""
"165","netherlands",10,"netherlands","united_kingdom","germany","belgium","denmark","spain","sweden","slovak_republic","ireland","czech_republic"
"166","tests",7,"tests","test","screening","assays","rapid_tests","standard_tests","preclinical_cases","","",""
"167","mice",10,"mice","rats","hamsters","rats_guinea_pigs","pure_badge","swiss_webster_mice","male_cd","gpt_delta","fischer_rats","male_mice"
"168","eggs",10,"eggs","fresh","pork","eggs_bakery_products","retail_fresh","beef_lamb","pasteurised_liquid","egg","eggshells","spent_hens"
"169","http_www_efsa_europa",10,"http_www_efsa_europa","htm","eu_efsa_scientificpanels","eu_efsa_efsa_locale","eu_en","eu_en_science","1457_htm","event_meeting","eu_en_efsajournal_doc","eu_en_supporting_pub"
"170","degradation",6,"degradation","photolysis","photodegradation","dissipation","dimoxistrobin","aerobic_degradation","","","",""
"171","probability",10,"probability","likelihood","introduction","captive_bird_becomes_infected","spread","asian_lineage_h5n1_hpaiv","released_undetected_into","viable_fmd_virus","rated_moderately_likely","ndv_infected_bird"
"172","dt50",10,"dt50","dt_50","dt90","dt50lab","whole_system","sfo_dt50","geometric_mean_dt50","first_order_dt50","1st_order","c_aerobic"
"173","livestock",9,"livestock","populations","virus_arrives","legal_imports","wildlife","viable_virus_arrives","arriving_vectors","viable_virus","ruminants",""
"174","virus",10,"virus","viruses","pprv","h5n1","h5n1_virus","virulent","classical_swine_fever_virus","csfv","vaccine_strain","transmission"
"175","without",9,"without","either","before","being","even","i_e","when","through","while",""
"176","revision",4,"revision","flavouring_group_evaluation","fge_24rev2","fge_18rev3","","","","","",""
"177","indicated",5,"indicated","suggested","demonstrated","indicating","show","","","","",""
"178","analysed",4,"analysed","determined","measured","analyzed","","","","","",""
"179","isolates",9,"isolates","strains","isolates_recovered","k_pneumoniae","campylobacter_coli_isolates","campylobacter_jejuni_isolates","isolated_from","isolate","esbl_producing",""
"180","background",5,"background","contents","requestor","reference","terms","","","","",""
"181","protein",6,"protein","proteins","carbohydrate","amino_acid_composition","e_coli_produced_atahas","casein","","","",""
"182","increase",10,"increase","decrease","increased","increases","change","higher","reduction","reduce","reduced","greater"
"183","area",10,"area","areas","region","zone_surrounding","introducing_e_multilocularis","vicinity","densely_populated_poultry","spreading","bordering","uncontrolled_movement"
"184","might",10,"might","could","would","can","will","may","should","does_not","do_not","potentially"
"185","uncertainty",10,"uncertainty","uncertainty_about","variability","uncertainties_affecting","uncertainties","probabilities","uncertainty_affecting","potential_biases","concise_description","model_outputs"
"186","tissues",10,"tissues","tissue","blood","bovine","rendered_mixtures","organs","lymph_nodes","intestine","brain","intestines"
"187","then",10,"then","before","so","once","if","again","humane_manner","directly","subsequently","being"
"188","wheat",8,"wheat","barley","rice","wheat_barley","corn","barley_wheat","w_wheat_durum","sorghum","",""
"189","likely",10,"likely","unlikely","able","known","aquacultured_vs","expected","less_likely","due","potentially","negligible"
"190","fl_no",10,"fl_no","flno","153_08_087","beta_ionone_fl_no","candidate_substances_fl_no","09_858","fl_nos","158_08_080","flno_07","possess_one_chiral_centre"
"191","body_weight",10,"body_weight","bodyweight","body_weight_gain","bw","weight_gain","average_daily","daily","bw_day","body_weights","wt_gain"
"192","mortality",9,"mortality","mortalities","diarrhoea","increased_mortality","morbidity","mortality_rates","reduced","clinical_signs","depression",""
"193","spread",10,"spread","spreading","transmission","migratory_birds","introduction","asian_lineage_h5n1_hpaiv","canl","free_areas","transmitting","highly_pathogenic_avian_influenza"
"194","infected",10,"infected","infected_animals","infectious","vaccinated","become_infected","bites","introduction_through_importation","infectious_culicoides","prrs_virus","excreting_virus"
"195","temperature",10,"temperature","temperatures","humidity","ph","ambient_temperature","oxygen","heat","relative_humidity","cooling","heating"
"196","enforcement",4,"enforcement","residue_trials_analysing_simultaneously","hereby_allowing","validated_analytical_methods","","","","","",""
"197","food_additives",10,"food_additives","joint_fao_who_expert","sixty_third_report","seventeenth_report","food_additives_jecfa","food_additives_65th_session","committee","sixty_ninth_report","sixty_third_meeting","food_additives_63rd_session"
"198","maize",10,"maize","line_1507","soybean","glyphosate_tolerant","glyphosatetolerant","mon_863_x","insect_protected","das_59132_8","isogenic_non","maizes"
"199","nutrition",10,"nutrition","allergies","allergies_nda","allergies_2015","allergies_nda_2009c","allergies_2014","allergies_nda_2011b","allergies_nda_2010b","142_744_750","allergies_nda_2010a"
"200","cause",7,"cause","occur","causes","caused_by","associated_with","induce","causing","","",""
"201","before",10,"before","until","after","then","prior","once","immediately","without","during","first"
"202","cereals",4,"cereals","potato","cereal","potatoes","","","","","",""
"203","spain",10,"spain","germany","portugal","italy","poland","greece","ireland","sweden","cyprus","romania"
"204","pesticides",4,"pesticides","pesticide","ppps","ppp","","","","","",""
"205","µg_l",10,"µg_l","annual_average_concentrations","μg_l","predicted_80th_percentile_annual","at_1m_depth","1µg_l","piacenza_scenario","nine_scenarios","1μg_l","values_pass"
"206","various",10,"various","several","as_well_as","different","e_g","including","many","some","most","those"
"207","needed",8,"needed","required","necessary","sufficient","adequate","need","further","allow","",""
"208","major",7,"major","main","common","associated_with","mainly","most_important","identified","","",""
"209","weight",10,"weight","weights","weight_gain","dressing_percentage","absolute","decreased","carcass_weight","body_weight","egg_production","significantly_reduced"
"210","fruit_fresh_or_frozen",10,"fruit_fresh_or_frozen","cereals_cereals_fruit_fresh","cereals_cereals_root","or_frozen_cereals_cereals","rye_rye_fruit_fresh","vegetables_vegetables","rye_oats_barley_oats","barley_barley_barley","cereals_cereals_cereals","tuber_vegetables_fruit_fresh"
"211","reduced",10,"reduced","increased","decreased","decrease","increase","higher","increases","lower","efficiency","reduction"
"212","http_www",10,"http_www","html","www","http","pdf","org","pdfs","food_gov_uk","aspx","multimedia_pdfs"
"213","noted_that",5,"noted_that","stressed_that","acknowledged_that","concluded_that","furthermore","","","","",""
"214","occur",10,"occur","may_occur","occurs","even","become","probably","cause","particularly","act_as","possibly"
"215","estimate",4,"estimate","estimates","estimation","calculate","","","","","",""
"216","identification",4,"identification","detection","characterization","carbapenemase_genes","","","","","",""
"217","contamination",10,"contamination","contaminated","crosscontamination","cross_contamination","can_contain_traces","itself_contain_traces","viable_virus","through","purchased_premixtures_purchased_premixtures","direct"
"218","parent",4,"parent","metabolite","metabolite_g_27550","desmethyl_dichlorvos","","","","","",""
"219","factors",5,"factors","stressors","influenced_by_many","aspects","intrinsic","","","","",""
"220","council",10,"council","european_parliament","1935_20045","29_april","no_1935_20046","no_882_2004","no_1935_20045","december_2008","no_726_2004","no_1334_2008"
"221","five",10,"five","six","four","eight","ten","seven","three","nine","twelve","fifteen"
"222","welfare",10,"welfare","animal_welfare","husbandry_systems","minority_opinion_common_carp","housing","animal_health","aspects","management","minority_opinion_seabass_seabream","husbandry"
"223","animal_health",5,"animal_health","animal_welfare","welfare","avian_influenza","welfare_ahaw_2012a","","","","",""
"224","oral",6,"oral","intravenous","oral_route","administration","dermal","subcutaneous","","","",""
"225","adopted",5,"adopted","march","july","december","april","","","","",""
"226","fattening",10,"fattening","chickens","turkeys","fattening_laying_hens","laying","chickens_reared","fattening_piglets_weaned","fattening_reared","fattening_piglets","fattening_chickens"
"227","equivalent",5,"equivalent","corresponding","per_day","mg","1000","","","","",""
"228","fruit",4,"fruit","vegetables","fruits","unmarketable","","","","","",""
"229","assess",8,"assess","evaluate","determine","identify","provide","with_respect","examine","enable","",""
"230","chemical",6,"chemical","biological","physicochemical_properties","physicochemical","physical","rro_name","","","",""
"231","outbreaks",10,"outbreaks","outbreak","infections","salmonellosis","hav_infection","wnd","evd","case_fatality_rates","viruses_isolated_from","human_cases"
"232","application_rate",10,"application_rate","s_ha","ha","winter_wheat_1x30_g","spray_volume","per_season","application_rate_sunflower_1x50","treatment_ridomil_gold","s_ha_test_organism","split_application"
"233","assumed",9,"assumed","individuals_will_excrete","so","likely","probably","even_if","unlikely","most_likely","still",""
"234","experts",6,"experts","meetings","meeting","agreed","discussions","discussed","","","",""
"235","areas",10,"areas","area","populations","densely_populated_poultry","regions","especially","wildlife","abattoir_workers","uncontrolled_movements","proximity"
"236","united_kingdom",10,"united_kingdom","belgium","netherlands","sweden","denmark","ireland","germany","finland","finland_france_germany","austria"
"237","approximately",10,"approximately","around","less_than","60","about","more_than","per_day","40","80","per"
"238","data_gap",5,"data_gap","all_representative_uses","experts_meeting","expert_meetings_refer","protected_mushroom","","","","",""
"239","more_than",4,"more_than","less_than","50","approximately","","","","","",""
"240","males",10,"males","females","both_sexes","female_rats","male_rats","females_receiving","alveolar_bronchiolar_adenoma","400_ppm_group","mid_dose_females","testicular_tubular_atrophy"
"241","sensitivity",10,"sensitivity","specificity","diagnostic_sensitivity","fpa_estimate_std","ielisa1_estimate_std","gint","mrbt_estimate_std","mapia","ielisa2_estimate_std","ielisa3_estimate_std"
"242","less_than",8,"less_than","more_than","approximately","around","at_least","higher_than","50","whereas","",""
"243","many",10,"many","most","some","several","particularly","especially","numerous","common","often","very"
"244","proportion",5,"proportion","percentage","numbers","whereas","number","","","","",""
"245","tomatoes",10,"tomatoes","apples","potatoes","grapes","sugar_beet","lettuce","strawberries","cucumber","pome_fruit","tomato"
"246","june",10,"june","april","july","february","september","november","january","march","december","august"
"247","blood",10,"blood","serum","tissue","tissues","organs","plasma","intestines","liver","skeletal_muscle","buffy_coat"
"248","farm",10,"farm","which_also_keeps","lairage_conditions","farms","slaughterhouse","gallus_broilers","abattoir","slaughter","investigations_organ_tissue","transport_vehicles"
"249","efsa_gmo_panel",10,"efsa_gmo_panel","gmo_panel","2011b_2012a","strongly_reiterates","single_events","2010a_2011a","cotton_mon_88913","has_previously_assessed","efsa_2006a","pmem_reports"
"250","urine",10,"urine","bile","excreted","expired_air","within_24_hours","within_72_hours","urinary_metabolites","urine_faeces","exhaled_air","radioactivity"
"251","vivo",10,"vivo","vitro","mammalian_cells","16_098_1767","vivo_assays","vivo_genotoxicity_studies","vivo_tests","07_015_1120","vivo_micronucleus_assay","unscheduled_dna_synthesis_uds"
"252","european_parliament",10,"european_parliament","council","no_1935_20046","no_1334_2008","2011_implementing_regulation_ec","21_october_2009","183_2005","1935_20045","no_882_2004","parliament"
"253","among",5,"among","amongst","while","most","particularly","","","","",""
"254","potatoes",10,"potatoes","grapes","tomatoes","sugar_beet","apples","lettuce","tomato","potato","oilseed_rape","pome_fruit"
"255","differences",6,"differences","variations","changes","differences_between","significant_differences","variation","","","",""
"256","strains",10,"strains","virulence_genes","isolates","resistance_determinants","non_pathogenic","virulence_factors","gram_negative_bacteria","plasmids","virulence_gene","bacterial"
"257","acid",10,"acid","followed_by_cleavage","form_acetyl_coa","transamination","hydrolysis","alkyl_side_chain","oxidation","madyastha_srivatsan_1988b","sulphonic_acids","linear_carboxylic_acid"
"258","females",10,"females","males","both_sexes","attaining_statistical_significance","alveolar_bronchiolar_adenoma","mean_body_weights","400_ppm_group","mid_dose_males","mid_dose_females","gravid_uterine_weight"
"259","skin",8,"skin","eye","throat","vomit","respiratory","eyes","respiratory_sounds","mucosa","",""
"260","systems",6,"systems","procedures","system","facilities","operations","modern","","","",""
"261","whereas",10,"whereas","while","lower","higher","generally","even","than","probably","less","mainly"
"262","mainly",10,"mainly","primarily","most","particularly","especially","often","major","many","predominantly","while"
"263","regulation_ec",10,"regulation_ec","no_1069_2009","183_2005","200415","no_999_2001","no_852_2004","no_882_2004","854_20045","no_641_2004","726_2004"
"264","methyl",10,"methyl","ethyl","hydroxy","propyl","2methyl","methoxy","dimethyl","butyl","pentyl","2methoxy"
"265","authorised",4,"authorised","complete_feed_cocciodiostat_active","11_coccidiostatic_substances","permitted","","","","","",""
"266","sediment",10,"sediment","sediment_phase","water_phase","whole_system","g_27550","sediment_layer","surface_water","water_sediment","sediment_phases","photolysis"
"267","unlikely",5,"unlikely","likely","expected","assumed","viable_hybrids","","","","",""
"268","demonstrated",4,"demonstrated","suggested","indicated","investigated","","","","","",""
"269","scientific_committee",5,"scientific_committee","scf_issued","thirty_fifth_series","animal_nutrition_scan","tahitian_noni_juice","","","","",""
"270","strain",7,"strain","strains","isolate","complete_genome_sequence","recombinant","genome","virus","","",""
"271","important",10,"important","essential","vital","difficult","unlaminated_vogt","an_important","problem","possible","crucial","particularly"
"272","chickens",10,"chickens","fattening","turkeys","ducks","fattening_laying_hens","fattening_piglets_weaned","weaned_piglets_pigs","laying","fattening_chickens","pigs"
"273","residue_trials",10,"residue_trials","twelve_gap_compliant","supervised_residue_trials","eight_residue_trials","still_desirable_minor_deficiency","outdoor_gaps","northern_outdoor_gaps","currants_compliant","nine_gap_compliant","rapeseed_compliant"
